CG2995	EG:BACR37P7.2
CG2945	cin
CG3923	l(1)1Bb
CG13373	CG13373
CG18275	CG18275
CG32817	CG32817
CG18166	CG18166
CG18273	CG18273
CG3156	CG3156
CG13369	CG13369
CG17828	mod(r)
CG17829	CG17829
CG6189	l(1)1Bi
CG7486	Dredd
CG6222	su(s)
CG13363	CG13363
CG16982	Roc1a
CG7434	RpL22
CG7413	Rbf
CG3711	EG:BACR7A4.19
CG3704	EG:BACR7A4.17
CG3658	CDC45L
CG3019	su(w[a])
CG3638	CG3638
CG11412	CG11412
CG12773	CG12773
CG11417	CG11417
CG3056	CG3056
CG11448	CG11448
CG14788	CG14788
CG14782	CG14782
CG32810	CG32810
CG3093	dor
CG3095	CG3095
CG32809	CG32809
CG14798	CG14798
CG3771	a6
CG14812	CG14812
CG14813	deltaCOP
CG14814	CG14814
CG14802	CG14802
CG14815	CG14815
CG14803	CG14803
CG14816	CG14816
CG14805	CG14805
CG14806	CG14806
CG14818	CG14818
CG3848	trr
CG11579	arm
CG32801	CG32801
CG3810	CG3810
CG17766	CG17766
CG3480	twit
CG3806	eIF2B-epsilon
CG3573	CG3573
CG11596	CG11596
CG4399	east
CG4376	Actn
CG4281	CG4281
CG4290	CG4290
CG16903	EG:67A9.2
CG4025	CG4025
CG3895	ph-d
CG18412	ph-p
CG3707	wapl
CG3540	Cyp4d14
CG10755	Cyp4ae1
CG3460	Nmd3
CG3461	pn
CG3466	Cyp4d2
CG3299	Vinc
CG3443	pcx
CG3228	kz
CG3193	crn
CG3206	Or2a
CG3078	CG3078
CG2924	CG2924
CG3071	CG3071
CG2918	CG2918
CG14048	mRpL14
CG2845	phl
CG32796	CG32796
CG8590	Klp3A
CG9659	egh
CG9900	mit(1)15
CG13761	Bzd
CG9904	EG:BACR7C10.1
CG10260	EG:BACR7C10.2
CG2694	CG2694
CG2701	CG2701
CG2712	CG2712
CG2714	crm
CG10803	CG10803
CG13316	Mnt
CG2947	CG2947
CG32789	CG32789
CG5014	Vap-33-1
CG6450	lva
CG4857	CG4857
CG11427	rb
CG12179	CG12179
CG12184	CG12184
CG15473	CG15473
CG3024	torp4a
CG7035	Cbp80
CG2984	Pp2C1
CG7010	CG7010
CG7024	CG7024
CG32772	CG32772
CG4041	CG4041
CG6903	CG6903
CG4068	CG4068
CG32767	CG32767
CG3312	Rnp4F
CG3309	CG3309
CG3249	CG3249
CG3208	RhoGAP5A
CG3201	Mlc-c
CG4119	CG4119
CG3129	Rab-RP4
CG4111	CG4111
CG3171	Tre1
CG3160	CG3160
CG3125	CG3125
CG15772	CG15772
CG15771	CG15771
CG3086	MAPk-Ak2
CG15767	CG15767
CG4064	CG4064
CG3016	CG3016
CG12236	CG12236
CG3011	CG3011
CG4317	Mipp2
CG4320	CG4320
CG14446	CG14446
CG3585	CG3585
CG3576	Lag1
CG3566	CG3566
CG15896	CG15896
CG32918	CG32918
CG3869	Marf
CG12217	PpV
CG3929	dx
CG10695	CG10695
CG3977	CG3977
CG3198	CG3198
CG4532	CG4532
CG4536	CG4536
CG4542	CG4542
CG32743	Smg1
CG1677	CG1677
CG1659	unc-119
CG2059	CG2059
CG1643	CG1643
CG12690	CHES-1-like
CG12153	Hira
CG32721	CG32721
CG12151	CG12151
CG10944	RpS6
CG11386	CG11386
CG1422	p115
CG33222	CG33222
CG1430	bys
CG1514	CG1514
CG1515	CG1515
CG1530	CG1530
CG2206	CG2206
CG1531	CG1531
CG2212	sws
CG2252	fs(1)h
CG1560	mys
CG2253	Upf2
CG2257	Ubc-E2H
CG10958	CG10958
CG15335	CG15335
CG2120	CG2120
CG2262	Smox
CG10763	Gbeta5
CG10959	CG10959
CG2278	CG2278
CG2272	Mlk2
CG2151	Trxr-1
CG32715	CG32715
CG2286	ND75
CG10555	CG10555
CG11190	CG11190
CG12125	CG12125
CG32712	CG32712
CG11265	CG11265
CG12109	Caf1-180
CG11284	CG11284
