Probe Set ID	SL2_1_Exp	SL2_2_Exp	Clone8_1_Exp	Clone8_2_Exp	SL2_1_Call	SL2_2_Call	Clone8_1_Call	Clone8_2_Call
AFFX-BioB-5_at	243.1	241.9	353.1	352.8	P	P	P	P
AFFX-BioB-M_at	348.4	208.4	319.6	433.2	P	P	P	P
AFFX-BioB-3_at	229.6	123.6	285.9	319.1	P	P	P	P
AFFX-BioC-5_at	554.2	491.1	756.9	824.5	P	P	P	P
AFFX-BioC-3_at	572.5	357.4	765.1	713.5	P	P	P	P
AFFX-BioDn-5_at	1391.7	1094.1	1621.5	2178.8	P	P	P	P
AFFX-BioDn-3_at	3809.3	3051.6	4196.2	3887.1	P	P	P	P
AFFX-CreX-5_at	9688.7	7055.9	10577.8	12702.4	P	P	P	P
AFFX-CreX-3_at	11785.2	9072.5	13439.6	14782.5	P	P	P	P
AFFX-DapX-5_at	980	617.8	1170.9	1832.4	P	P	P	P
AFFX-DapX-M_at	1424.9	985	1529.9	2543.9	P	P	P	P
AFFX-DapX-3_at	1426.6	1453.6	1612.2	3351.5	P	P	P	P
AFFX-LysX-5_at	101.3	76.9	110.3	221.3	P	P	P	P
AFFX-LysX-M_at	198.2	131	196.8	277.2	A	A	A	P
AFFX-LysX-3_at	353.8	352.5	475.1	811.6	P	P	P	P
AFFX-PheX-5_at	185.1	126.2	223.2	427.5	P	P	P	P
AFFX-PheX-M_at	180.7	93.9	204.7	485.8	P	P	P	P
AFFX-PheX-3_at	223.8	173.3	274.2	384.5	P	P	P	P
AFFX-ThrX-5_at	285.7	142.5	206.4	490.4	P	P	P	P
AFFX-ThrX-M_at	379.2	202.5	365.9	573.5	P	P	P	P
AFFX-ThrX-3_at	483.8	304.8	503.2	1042	P	P	P	P
AFFX-TrpnX-5_at	5.8	2.4	6.7	0.4	A	A	A	A
AFFX-TrpnX-M_at	3.3	2.8	2.3	1.5	A	A	A	A
AFFX-TrpnX-3_at	1.9	14.7	16.1	1.7	A	A	A	A
AFFX-r2-Ec-bioB-5_at	282.5	183.9	291	271.1	P	P	P	P
AFFX-r2-Ec-bioB-M_at	354.3	273.5	417.8	477.1	P	P	P	P
AFFX-r2-Ec-bioB-3_at	339.2	241.4	501	450.1	P	P	P	P
AFFX-r2-Ec-bioC-5_at	701.8	641	979.4	1109.3	P	P	P	P
AFFX-r2-Ec-bioC-3_at	964.8	735.9	1291.5	1243.1	P	P	P	P
AFFX-r2-Ec-bioD-5_at	4245.5	3194.8	5191.8	5282.3	P	P	P	P
AFFX-r2-Ec-bioD-3_at	4511.5	3644	5210	5466.7	P	P	P	P
AFFX-r2-P1-cre-5_at	11360.6	10334.5	13278.5	14404.8	P	P	P	P
AFFX-r2-P1-cre-3_at	15451.6	13064.1	15848.4	17965.5	P	P	P	P
