gid	name
11733	Ank1
12349	Car2
12346	Car1
11656	Alas2
13857	Epor
20533	Slc4a1
269587	Epb4.1
22761	Zfpm1
14460	Gata1
14461	Gata2
15122	Hba-a1
15130	Hbb-b2
15126	Hba-x
15135	Hbb-y
15132	Hbb-bh1
16909	Lmo2
18022	Nfe2
23925	Kel
14934	Gypa
71683	Gypc
16596	Klf1
12606	Cebpa
12609	Cebpd
13035	Ctsg
12475	Cd14
12978	Csf1r
14130	Fcgr2b
14129	Fcgr1
12986	Csf3r
12982	Csf2ra
12984	Csf2rb2
17002	Ltf
17105	Lyzs
17110	Lzp-s
17523	Mpo
17394	Mmp8
20375	Sfpi1
12504	Cd4
12525	Cd8a
12526	Cd8b1
12501	Cd3e
12503	Cd3z
16818	Lck
12143	Blk
18507	Pax5
13591	Ebf1
12478	Cd19
16184	Il2ra
19373	Rag1
19374	Rag2
22363	Vpreb2
12518	Cd79a
15985	Cd79b
11628	Aicda
12483	Cd22
16069	Igj
12142	Prdm1
17060	Blnk
18128	Notch1
16197	Il7r
