gid	name
11576	Afp
11657	Alb1
14080	Fabp1
16644	Kng1
15112	Hao1
26876	Adh4
56373	Cpb2
12686	Elovl3
18979	Pon1
14161	Fga
19123	Proc
56720	Tdo2
20211	Saa4
234724	Tat
18008	Nes
20977	Syp
216739	Acsl6
13193	Dcx
229759	Olfm3
140904	Caln1
69938	Scrn1
20983	Syt4
14415	NA
12653	Chgb
14580	Gfap
50914	Olig1
50913	Olig2
17932	Myt1
56843	Trpm5
11813	Apoc2
12613	Cel
11833	Aqp8
18778	Pla2g1b
19213	Ptf1a
14526	Gcg
16334	Ins2
217212	Pyy
66283	Gkn1
14459	Gast
19064	Ppy
17829	Muc1
212989	Vmd2l1
432720	NA
11648	Akp3
16204	Fabp6
53315	Sult1d1
171281	Pte2a
11827	Aqp2
56185	Hao3
12000	Avpr2
214301	Crygn
22287	Scgb1a1
20390	Sftpd
20388	Sftpb
22178	Tyrp1
22173	Tyr
57911	Gsdm1
16681	Krt2-17
109052	Krtcap1
241636	Tgm6
56735	Krt2-6g
22178	Tyrp1
269328	D730046L02Rik
171531	Mlph
16770	Lalba
12992	Csnd
22373	Wap
11464	Actc1
214384	Myocd
243078	Srd5a2l2
21954	Tnni3
14715	Gnrhr
18976	Pomc1
