Samplename	Description
m4C_ESC_ES1	Nanog m4C-seq in ESC1 line
m4C_ESC_ESR1	Nanog m4C-seq in ESC R1 line
m4C_ESC_ESV65	Nanog m4C-seq in ESC V6.5 line
m4C_MEF1	Nanog m4C-seq in MEF replicate 1
m4C_MEF2	Nanog m4C-seq in MEF replicate 2
m4C_MEF3	Nanog m4C-seq in MEF replicate 3
m4C_iPSC1	Nanog m4C-seq in iPSC line 1
m4C_iPSC2	Nanog m4C-seq in iPSC line 2
m4C_iPSC3	Nanog m4C-seq in iPSC line 3
m4C_partial-iPSC_TechRepA	Nanog m4C-seq in partial iPSC technical replicate A
m4C_partial-iPSC_TechRepB	Nanog m4C-seq in partial iPSC technical replicate B
m4C_partial-iPSC_RepC	Nanog m4C-seq in partial iPSC replicate C
m4C_ReprogInt_day6_RepA	Nanog m4C-seq in Reprogramming intermediates day6 replicate A
m4C_ReprogInt_day6_RepB	Nanog m4C-seq in Reprogramming intermediates day6 replicate B
m4C_ReprogInt_48h	Nanog m4C-seq in Reprogramming intermediates 48h
m4C_ReprogInt_day6_RepC	Nanog m4C-seq in Reprogramming intermediates day6 replicate C
m4C_ReprogInt_day9	Nanog m4C-seq in Reprogramming intermediates day9
m4C_ESC_ES1_Med1_ChIP	Nanog m4C-seq in ESC1 Med1 ChIP
m4C_ESC_ES1_Smc1_ChIP	Nanog m4C-seq in ESC1 Smc1a ChIP
m4C_ESC_ES1_Med1_ShRNA	Nanog m4C-seq in ESC1 Med1 shRNA d5
m4C_ESC_ES1_Smc1_ShRNA	Nanog m4C-seq in ESC1 Smc1a shRNA d5
m4C_ESC_GenomicControl	Nanog m4C-seq genomic control

