#gene_id	chr	edi_untreated	pi_untreated	edi_ratio	pi_ratio
Myo95E-RG	chr3R	-0.33536413903288	2.07370206193223	-0.140743360123486	0.147523554350757
CG10222-RA	chr3L	0.161362987938885	0.0114956388378294	0.240447720766553	0.37851162325373
cdc16-RA	chr3R	-0.255350730574709	0.382122787308896	0.026042133837987	0.471975256578247
pnut-RB	chr2R	-1.41726904657743	-5.01505778020349	-0.617969061390458	-0.12132317590459
zetaCOP-RA	chr3L	1.66601921020199	5.02460128140345	-0.471871921781123	-0.440336178219496
Rs1-RA	chr2R	-0.213939034110765	1.65460218191297	0.0204639234862067	0.00892378315194189
CG7382-RA	chr2L	-0.551424209861665	0.126416475594914	-0.789542637178124	-0.316463291104979
wech-RA	chr2R	-2.63318234176354	0.985139046184705	-0.506210664206896	0.0266169107685598
CG6020-RA	chr3L	4.49590585254073	NA	NA	NA
CG8728-RA	chr2R	-0.188612354902014	0.371808658308356	-0.23055150062946	-0.104390330083386
CG6308-RA	chrX	NA	NA	0.344648171387446	-0.303191532305777
CG32032-RA	chr3L	-1.5372927709826	4.53501610893372	0.0347151902648695	0.413997075807858
ade2-RB	chr2L	0.655726566304088	2.5040270918467	-0.133193621448874	0.519051249936216
CG8920-RA	chr2R	0.14664985895084	4.11004147012632	-0.517275693209581	-0.258944105423577
RpS23-RA	chr2R	-0.645307518088419	0.115672715192656	-0.0603435743806882	0.106119999633836
Arf79F-RC	chr3L	-0.691877704637668	0.033276154874294	-0.323329580796838	0.0325364928135334
CG5068-RA	chr3L	-0.109696903036025	2.6739496360506	0.129079949164929	0.471591402926645
CG11563-RA	chr3R	1.65604559878264	0.388565287917654	-0.391985457740031	-0.0588478375370644
CG9063-RA	chr3L	-0.626955399123575	0.768405705528396	-0.0284179243678801	0.389858025495991
swm-RA	chr2L	-0.283670454491602	1.00691191453087	-0.145672414482166	0.195140653748303
CG8090-RB	chr2R	-0.329809662411813	2.42693561964834	-0.276966320577305	-0.0354886340038213
CG2023-RA	chr3R	-1.14438990933518	0.394278939112042	0.400598675916958	0.442603967519431
CG11070-RA	chr2L	-1.05293747680456	0.195898741139314	-0.514511288245464	0.207772810978618
Fas1-RF	chr3R	0.403397973542461	3.97610726896462	0.306246827259159	0.323236205563312
